Date,Timestamp,Volume,Open,High,Low,Close,EURUSD
20180102,00:00:00,743.160003900528,1.20105,1.20126,1.20092,1.20125,EURUSD,
20180102,00:15:00,1131.33000636101,1.20126,1.20177,1.20126,1.20143,EURUSD,
20180102,00:30:00,1024.79999780655,1.20144,1.20148,1.20124,1.20128,EURUSD,
20180102,00:45:00,1463.24000108242,1.20127,1.20164,1.20111,1.2016,EURUSD,
20180102,01:00:00,1782.77001190186,1.20159,1.20228,1.20158,1.20218,EURUSD,
20180102,01:15:00,1207.10000777245,1.20217,1.20231,1.20207,1.20227,EURUSD,
20180102,01:30:00,1342.52000570297,1.20227,1.20229,1.2018,1.2019,EURUSD,
20180102,01:45:00,1527.80000567436,1.20189,1.2021,1.20139,1.20154,EURUSD,
20180102,02:00:00,2023.66999804974,1.20153,1.20163,1.2012,1.2012,EURUSD,
20180102,02:15:00,1280.52000284195,1.2012,1.20123,1.20093,1.20119,EURUSD,
20180102,02:30:00,1767.10000622272,1.20121,1.20124,1.2009,1.20095,EURUSD,
20180102,02:45:00,1089.97000145912,1.20093,1.20101,1.20078,1.20095,EURUSD,
20180102,03:00:00,1565.38000023365,1.20095,1.20171,1.20094,1.20148,EURUSD,
20180102,03:15:00,1846.52000164986,1.20149,1.20211,1.20148,1.20202,EURUSD,
20180102,03:30:00,914.090002536774,1.20202,1.20202,1.2017,1.20182,EURUSD,
20180102,03:45:00,1626.19000768661,1.20182,1.20183,1.20115,1.20119,EURUSD,
20180102,04:00:00,1055.83000349998,1.20118,1.20158,1.20114,1.20156,EURUSD,
20180102,04:15:00,795.880004048347,1.20156,1.20192,1.20155,1.20183,EURUSD,
20180102,04:30:00,1335.98001015186,1.20183,1.20184,1.20127,1.20157,EURUSD,
20180102,04:45:00,1506.5000089407,1.20157,1.20173,1.20152,1.20173,EURUSD,
20180102,05:00:00,1134.04001092911,1.20174,1.20182,1.20158,1.20172,EURUSD,
20180102,05:15:00,1078.01001083851,1.20173,1.20187,1.20165,1.20185,EURUSD,
20180102,05:30:00,810.87000310421,1.20185,1.20206,1.20182,1.20206,EURUSD,
20180102,05:45:00,857.669999718666,1.20207,1.20245,1.20203,1.20245,EURUSD,
20180102,06:00:00,1745.71000945568,1.20244,1.20296,1.20244,1.20287,EURUSD,
20180102,06:15:00,1422.21000218391,1.20291,1.20296,1.20235,1.20251,EURUSD,
20180102,06:30:00,1264.69000411034,1.20251,1.20257,1.20227,1.20253,EURUSD,
20180102,06:45:00,1637.08000600338,1.20251,1.20304,1.20231,1.20286,EURUSD,
20180102,07:00:00,2382.31000936031,1.20285,1.20318,1.20263,1.20275,EURUSD,
20180102,07:15:00,2615.53001761436,1.20275,1.20305,1.20237,1.20299,EURUSD,
20180102,07:30:00,3343.98999989033,1.20299,1.20367,1.20258,1.20358,EURUSD,
20180102,07:45:00,2717.99000918865,1.20359,1.20382,1.20344,1.20361,EURUSD,
20180102,08:00:00,3225.66000258923,1.20362,1.20386,1.20323,1.20349,EURUSD,
20180102,08:15:00,2876.90999913216,1.20349,1.20427,1.2033,1.20421,EURUSD,
20180102,08:30:00,3062.75999844074,1.20421,1.20456,1.20409,1.2045,EURUSD,
20180102,08:45:00,2129.8500007391,1.2045,1.20477,1.2043,1.20446,EURUSD,
20180102,09:00:00,2785.86001348495,1.20449,1.20499,1.20421,1.20496,EURUSD,
20180102,09:15:00,2085.75999855995,1.20497,1.20508,1.20485,1.20501,EURUSD,
20180102,09:30:00,2801.12000715733,1.20501,1.20591,1.20495,1.20589,EURUSD,
20180102,09:45:00,3564.50001132488,1.20587,1.20705,1.20581,1.20705,EURUSD,
20180102,10:00:00,3417.77000033855,1.20704,1.20778,1.2067,1.20677,EURUSD,
20180102,10:15:00,3075.44999551773,1.20676,1.20691,1.20613,1.20689,EURUSD,
20180102,10:30:00,3083.16000640392,1.20688,1.20799,1.20682,1.20779,EURUSD,
20180102,10:45:00,3225.6100114584,1.20778,1.20811,1.20667,1.20684,EURUSD,
20180102,11:00:00,2339.23000574112,1.20684,1.20705,1.20632,1.20644,EURUSD,
20180102,11:15:00,2661.4200129509,1.20643,1.20687,1.2062,1.20655,EURUSD,
20180102,11:30:00,2184.67000126839,1.20656,1.20686,1.20643,1.20656,EURUSD,
20180102,11:45:00,2107.64000856876,1.20656,1.20675,1.20592,1.20593,EURUSD,
20180102,12:00:00,2683.74000620842,1.20592,1.20641,1.2057,1.20625,EURUSD,
20180102,12:15:00,2843.08000588417,1.20625,1.20629,1.20567,1.20612,EURUSD,
20180102,12:30:00,2661.24999403954,1.20613,1.20674,1.20612,1.20647,EURUSD,
20180102,12:45:00,2874.37000370026,1.20646,1.20687,1.20613,1.20627,EURUSD,
20180102,13:00:00,2511.1499966383,1.20628,1.20654,1.20607,1.20643,EURUSD,
20180102,13:15:00,3001.66000545025,1.20643,1.20657,1.20561,1.20605,EURUSD,
20180102,13:30:00,3371.79001045227,1.20606,1.20665,1.20605,1.20655,EURUSD,
20180102,13:45:00,2969.24001097679,1.20654,1.20661,1.20571,1.20574,EURUSD,
20180102,14:00:00,3336.42000365257,1.20572,1.20588,1.20461,1.20489,EURUSD,
20180102,14:15:00,3013.06000673771,1.20489,1.20507,1.20438,1.2047,EURUSD,
20180102,14:30:00,2898.53001189232,1.2047,1.20513,1.2044,1.20466,EURUSD,
20180102,14:45:00,4047.05000555515,1.20466,1.20478,1.20354,1.20387,EURUSD,
20180102,15:00:00,3727.02000772953,1.2039,1.20422,1.20346,1.20387,EURUSD,
20180102,15:15:00,3493.70000040531,1.20385,1.20417,1.20301,1.20324,EURUSD,
20180102,15:30:00,3294.96001207829,1.20323,1.20333,1.20262,1.20313,EURUSD,
20180102,15:45:00,3836.08000004292,1.20312,1.20456,1.20312,1.20445,EURUSD,
20180102,16:00:00,3893.36999988556,1.20453,1.20533,1.20436,1.20527,EURUSD,
20180102,16:15:00,3190.95000946522,1.2053,1.20564,1.20464,1.20469,EURUSD,
20180102,16:30:00,2933.31999993324,1.20468,1.20528,1.20445,1.20522,EURUSD,
20180102,16:45:00,3212.70000195503,1.20522,1.2059,1.20471,1.20491,EURUSD,
20180102,17:00:00,2162.81999433041,1.20491,1.205,1.20454,1.20485,EURUSD,
20180102,17:15:00,2526.73000240326,1.20485,1.20536,1.20451,1.2047,EURUSD,
20180102,17:30:00,1807.64000344276,1.2047,1.20508,1.20463,1.2049,EURUSD,
20180102,17:45:00,2288.25999736786,1.2049,1.20498,1.20412,1.20448,EURUSD,
20180102,18:00:00,2207.83999979496,1.20441,1.20486,1.20433,1.20439,EURUSD,
20180102,18:15:00,1470.56999802589,1.20439,1.20481,1.20435,1.20479,EURUSD,
20180102,18:30:00,1751.57000041008,1.20479,1.20498,1.20472,1.20485,EURUSD,
20180102,18:45:00,1795.3800047636,1.20485,1.20489,1.20418,1.20443,EURUSD,
20180102,19:00:00,1552.85999882221,1.20444,1.20487,1.20431,1.2046,EURUSD,
20180102,19:15:00,1096.46999716759,1.2046,1.20486,1.20446,1.20475,EURUSD,
20180102,19:30:00,1529.78999698162,1.20475,1.20503,1.20471,1.20503,EURUSD,
20180102,19:45:00,1631.87999987602,1.20502,1.20536,1.20497,1.20533,EURUSD,
20180102,20:00:00,2366.72999894619,1.20535,1.20562,1.20522,1.2054,EURUSD,
20180102,20:15:00,1177.47000253201,1.20539,1.2055,1.20517,1.20544,EURUSD,
20180102,20:30:00,1733.33999788761,1.20544,1.20575,1.20536,1.20574,EURUSD,
20180102,20:45:00,1876.5200060904,1.20573,1.20606,1.20557,1.20592,EURUSD,
20180102,21:00:00,1711.19000169635,1.20591,1.20652,1.20591,1.20612,EURUSD,
20180102,21:15:00,808.440005540848,1.20612,1.20612,1.20561,1.20561,EURUSD,
20180102,21:30:00,906.570002794266,1.20563,1.206,1.20545,1.20588,EURUSD,
20180102,21:45:00,1372.25000572205,1.20588,1.20603,1.20579,1.20583,EURUSD,
20180102,22:00:00,355.490000963211,1.20581,1.20583,1.20558,1.20562,EURUSD,
20180102,22:15:00,866.800001621246,1.20563,1.20572,1.2056,1.20563,EURUSD,
